sec,cpu,rss_mib
1,0.0,1009.4375
2,375.9,1115.625
3,228.1,1084.953125
4,348.1,1119.5625
5,381.2,1127.5625
6,384.3,1144.609375
8,378.8,1167.515625
9,375.9,1179.40625
10,379.9,1182.3125
11,385.2,1188.46875
12,385.2,1188.5625
13,382.8,1188.6875
14,382.7,1193.3125
15,382.4,1200.703125
16,384.7,1203.6875
17,307.2,1202.6875
18,334.8,1181.4375
19,383.6,1185.203125
21,368.7,1193.140625
22,384.0,1192.40625
23,382.5,1192.921875
24,369.8,1196.078125
25,383.4,1196.09375
26,324.7,1197.90625
27,352.3,1195.578125
28,385.6,1199.421875
29,382.4,1199.578125
30,382.7,1199.6875
31,379.2,1203.703125
33,286.5,1206.296875
34,384.1,1206.375
35,384.1,1205.609375
36,376.2,1205.78125
37,385.7,1205.78125
38,388.3,1206.0
39,383.7,1206.078125
40,383.7,1216.25
41,385.8,1216.296875
42,363.4,1216.421875
43,379.7,1217.546875
44,380.0,1217.6875
45,367.4,1217.703125
46,383.2,1217.875
48,383.7,1217.875
49,385.4,1218.796875
50,383.5,1218.0625
51,358.4,1218.203125
52,382.4,1219.015625
53,385.6,1218.328125
54,386.2,1218.5625
55,384.5,1268.421875
56,372.9,1269.34375
57,318.5,1273.265625
59,347.8,1271.359375
